"","Idx","SampleID","SampleType","Class"
"1",1,"sample_1","QC","QC"
"2",2,"sample_2","Sample","GC"
"3",3,"sample_3","Sample","BN"
"4",4,"sample_4","Sample","HE"
"5",5,"sample_5","Sample","GC"
"6",6,"sample_6","Sample","BN"
"7",7,"sample_7","Sample","GC"
"8",8,"sample_8","Sample","HE"
"9",9,"sample_9","Sample","GC"
"10",10,"sample_10","QC","QC"
"11",11,"sample_11","Sample","BN"
"12",12,"sample_12","Sample","HE"
"13",13,"sample_13","Sample","GC"
"14",14,"sample_14","Sample","BN"
"15",15,"sample_15","Sample","HE"
"16",16,"sample_16","Sample","GC"
"17",17,"sample_17","Sample","BN"
"18",18,"sample_18","Sample","HE"
"19",19,"sample_19","QC","QC"
"20",20,"sample_20","Sample","GC"
"21",21,"sample_21","Sample","BN"
"22",22,"sample_22","Sample","HE"
"23",23,"sample_23","Sample","GC"
"24",24,"sample_24","Sample","BN"
"25",25,"sample_25","Sample","HE"
"26",26,"sample_26","Sample","GC"
"27",27,"sample_27","Sample","BN"
"28",28,"sample_28","QC","QC"
"29",29,"sample_29","Sample","HE"
"30",30,"sample_30","Sample","GC"
"31",31,"sample_31","Sample","BN"
"32",32,"sample_32","Sample","HE"
"33",33,"sample_33","Sample","GC"
"34",34,"sample_34","Sample","BN"
"35",35,"sample_35","Sample","HE"
"36",36,"sample_36","Sample","GC"
"37",37,"sample_37","QC","QC"
"38",38,"sample_38","Sample","BN"
"39",39,"sample_39","Sample","HE"
"40",40,"sample_40","Sample","GC"
"41",41,"sample_41","Sample","BN"
"42",42,"sample_42","Sample","HE"
"43",43,"sample_43","Sample","GC"
"44",44,"sample_44","Sample","BN"
"45",45,"sample_45","Sample","HE"
"46",46,"sample_46","QC","QC"
"47",47,"sample_47","Sample","GC"
"48",48,"sample_48","Sample","BN"
"49",49,"sample_49","Sample","HE"
"50",50,"sample_50","Sample","GC"
"51",51,"sample_51","Sample","BN"
"52",52,"sample_52","Sample","HE"
"53",53,"sample_53","Sample","GC"
"54",54,"sample_54","Sample","BN"
"55",55,"sample_55","QC","QC"
"56",56,"sample_56","Sample","HE"
"57",57,"sample_57","Sample","GC"
"58",58,"sample_58","Sample","GC"
"59",59,"sample_59","Sample","BN"
"60",60,"sample_60","Sample","HE"
"61",61,"sample_61","Sample","GC"
"62",62,"sample_62","Sample","BN"
"63",63,"sample_63","Sample","HE"
"64",64,"sample_64","QC","QC"
"65",65,"sample_65","Sample","GC"
"66",66,"sample_66","Sample","BN"
"67",67,"sample_67","Sample","HE"
"68",68,"sample_68","Sample","GC"
"69",69,"sample_69","Sample","BN"
"70",70,"sample_70","Sample","HE"
"71",71,"sample_71","Sample","GC"
"72",72,"sample_72","Sample","BN"
"73",73,"sample_73","QC","QC"
"74",74,"sample_74","Sample","HE"
"75",75,"sample_75","Sample","GC"
"76",76,"sample_76","Sample","BN"
"77",77,"sample_77","Sample","HE"
"78",78,"sample_78","Sample","GC"
"79",79,"sample_79","Sample","BN"
"80",80,"sample_80","Sample","HE"
"81",81,"sample_81","Sample","GC"
"82",82,"sample_82","QC","QC"
"83",83,"sample_83","Sample","BN"
"84",84,"sample_84","Sample","HE"
"85",85,"sample_85","Sample","GC"
"86",86,"sample_86","Sample","BN"
"87",87,"sample_87","Sample","HE"
"88",88,"sample_88","Sample","GC"
"89",89,"sample_89","Sample","BN"
"90",90,"sample_90","Sample","HE"
"91",91,"sample_91","QC","QC"
"92",92,"sample_92","Sample","GC"
"93",93,"sample_93","Sample","BN"
"94",94,"sample_94","Sample","HE"
"95",95,"sample_95","Sample","GC"
"96",96,"sample_96","Sample","BN"
"97",97,"sample_97","Sample","HE"
"98",98,"sample_98","Sample","GC"
"99",99,"sample_99","Sample","BN"
"100",100,"sample_100","QC","QC"
"101",101,"sample_101","Sample","HE"
"102",102,"sample_102","Sample","GC"
"103",103,"sample_103","Sample","BN"
"104",104,"sample_104","Sample","HE"
"105",105,"sample_105","Sample","GC"
"106",106,"sample_106","Sample","GC"
"107",107,"sample_107","Sample","BN"
"108",108,"sample_108","Sample","HE"
"109",109,"sample_109","QC","QC"
"110",110,"sample_110","Sample","GC"
"111",111,"sample_111","Sample","BN"
"112",112,"sample_112","Sample","HE"
"113",113,"sample_113","Sample","GC"
"114",114,"sample_114","Sample","BN"
"115",115,"sample_115","Sample","HE"
"116",116,"sample_116","Sample","GC"
"117",117,"sample_117","Sample","BN"
"118",118,"sample_118","QC","QC"
"119",119,"sample_119","Sample","HE"
"120",120,"sample_120","Sample","GC"
"121",121,"sample_121","Sample","BN"
"122",122,"sample_122","Sample","HE"
"123",123,"sample_123","Sample","GC"
"124",124,"sample_124","Sample","BN"
"125",125,"sample_125","Sample","HE"
"126",126,"sample_126","Sample","GC"
"127",127,"sample_127","QC","QC"
"128",128,"sample_128","Sample","BN"
"129",129,"sample_129","Sample","HE"
"130",130,"sample_130","Sample","GC"
"131",131,"sample_131","Sample","BN"
"132",132,"sample_132","Sample","HE"
"133",133,"sample_133","Sample","GC"
"134",134,"sample_134","Sample","BN"
"135",135,"sample_135","Sample","HE"
"136",136,"sample_136","QC","QC"
"137",137,"sample_137","Sample","GC"
"138",138,"sample_138","Sample","BN"
"139",139,"sample_139","Sample","HE"
"140",140,"sample_140","QC","QC"
